Index,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17
2004-01-02,10.5,9.58,7.25,13.67,7.68,5.81,7.8,11.55,5.21,13.8,23.7,25.19,10.88,4.12,5.08,7.98,9.25,16.81
2004-01-05,11.03,10.11,7.67,15.04,7.88,6.03,7.84,12.25,5.69,14,23.47,26.4,11.38,4.53,5.43,8.27,9.64,17.25
2004-01-06,11.36,10.45,7.72,15.17,8.23,5.91,8.15,12.67,5.6,13.86,22.98,26.96,11.79,4.88,5.65,8.38,9.92,17.97
2004-01-07,11.56,11.06,7.81,15,8.14,6.13,8.09,12.87,5.6,14.03,23.81,26.95,11.93,4.78,5.64,8.65,9.74,18.3
2004-01-08,11.63,10.67,7.72,15.27,8.18,6.15,8.3,12.9,5.58,14.65,23.68,27.42,12.05,4.94,5.78,8.67,10.44,17.83
2004-01-09,11.47,11.36,7.5,15.47,7.82,6.1,8.85,12.6,5.37,14.35,23.05,26.21,11.65,4.87,5.86,8.3,9.99,16.67
2004-01-12,11.95,11.39,7.92,16.28,7.92,6.13,9.33,13,5.58,15.01,23.2,26.53,12.03,5.02,5.95,8.52,10.22,16.78
2004-01-13,11.75,11.13,7.77,16.3,7.99,6.3,9.29,12.69,5.4,15.88,23.29,27.6,11.9,4.89,5.83,8.38,10.08,16.49
2004-01-14,11.39,10.93,7.78,15.87,7.82,6.18,9.26,12.62,5.25,15.93,24.5,28.87,11.62,4.74,5.74,8.17,9.77,16.25
2004-01-15,11.36,11.07,7.74,15.62,7.77,6.33,9.11,12.26,5.24,15.94,23.91,28.28,11.59,4.74,5.94,8.19,9.64,16.33
2004-01-16,11.4,11.3,7.48,15.47,8.05,6.5,8.96,12.41,5.29,15.81,23.72,28.49,11.65,4.74,6.08,8.27,9.7,16.12
2004-01-29,11.68,10.79,7.39,15.33,8.53,7.08,9.1,12.4,5.28,15.8,24.1,28.96,11.86,4.86,NA,8.6,9.9,16.38
2004-01-30,11.25,11.17,7.09,14.65,8.89,6.89,9,12.02,5.05,15,23.93,28.12,11.48,4.87,NA,8.28,9.45,15.11
2004-02-02,11.67,11.61,7.08,15,8.88,7.06,9.13,12.3,5.11,15.39,23.98,28.92,11.97,5.17,5.92,9.11,9.68,15.09
2004-02-03,11.89,11.98,7.2,15.2,8.85,7.02,9.38,12.42,5.31,16.12,24.25,29,12.1,5.15,5.91,9.28,10.1,15.74
2004-02-04,12,11.95,7.3,15.29,8.92,7.29,9.49,12.92,5.4,16.21,25.08,28.99,12.34,5.25,6.14,9.47,10.15,15.71
2004-02-05,12.23,11.8,7.16,14.86,9,7.23,9.47,12.75,5.43,16.2,26.35,28.19,12.29,5.2,6.19,10.31,10.25,15.34
2004-02-06,12.22,11.89,7.27,14.74,8.75,7.06,9.5,12.75,5.33,16.17,27.23,27.83,12.24,5.09,6.06,10.25,10.21,15.42
2004-02-09,12.35,11.64,7.34,14.98,8.86,7.21,9.7,12.73,5.35,17.09,26.95,28.14,12.43,5.1,5.97,10.58,10.27,16.02
2004-02-10,12,11.43,7.15,14.42,9.01,7.4,9.7,12.8,5.27,16.88,25.5,27.77,12.19,5.05,6.04,10.23,10.11,15.83
2004-02-11,11.75,11.32,6.95,14.56,8.89,7.41,9.47,12.67,5.11,16.81,25.69,27.62,11.98,4.96,5.99,10.29,10.33,15.32
2004-02-12,11.51,11.34,6.8,14.22,8.8,7.38,9.48,12.27,4.91,16.67,25.42,27.64,11.75,4.9,6.17,9.96,10.23,15.43
2004-02-13,11.55,11.68,6.84,14.17,8.61,7.21,9.38,12.16,4.95,16.44,25.34,27.89,11.76,4.93,6.49,9.82,10.39,15.19
2004-02-16,11.93,11.34,7.03,14.48,8.97,7.38,9.51,12.38,5.06,16.58,26,28.65,12.29,5.14,6.59,10.23,10.74,15.52
2004-02-17,11.78,11.43,7,14.94,9.07,7.75,9.71,12.36,5,16.85,26.36,28.54,12.28,5.09,6.45,10.24,10.74,15.8
2004-02-18,11.74,11.16,7.17,15.23,9.1,7.73,10.02,12.26,5.05,16.75,26.3,29.09,12.15,5.14,6.54,10.13,10.74,16.39
2004-02-19,11.5,11.35,7.12,14.98,8.94,8.05,9.9,12.17,5.01,16.42,26,28.8,11.97,5.09,6.47,10.25,11,16.19
2004-02-20,11.7,10.92,7.18,15.09,8.85,7.97,10.11,12.35,4.98,16.22,26.29,28.73,12.14,5.05,6.42,10.29,10.97,15.91
2004-02-23,11.28,10.63,7.03,14.9,8.64,7.89,10.11,12.31,4.82,16.27,25.8,28,11.66,4.86,6.42,9.82,10.55,15.1
